onet_soc,title,description,soc2018,ilo_exposure_mean,ilo_exposure_min,ilo_exposure_max,ilo_isco_count,mapping_confidence,observed_exposure,Context,Interaction,Judgment,Physicality,Responsibility,hm_dimensions_available,HumanMoat_seed_equal_weight,HumanMoat_confidence,ILO_Exposure_Score,Anthropic_Observed_Exposure_Score,AI_Exposure_Composite_Descriptive,coverage_count,data_confidence,_soc6,2025 National Employment Matrix title,2025 National Employment Matrix code,Occupation type,"Employment, 2025","Employment, 2035","Employment distribution, percent, 2025","Employment distribution, percent, 2035","Employment change, numeric, 2025–35","Employment change, percent, 2025–35","Percent self-employed, 2025","Occupational openings, 2025–35 annual average","Median annual wage, dollars, 2025",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content,Related Occupational Outlook Handbook (OOH) content.1,"Labor force exit rate, 2025–35 annual average","Occupational transfer rate, 2025–35 annual average","Total occupational separations rate, 2025–35 annual average","Labor force exits, 2025–35 annual average","Occupational transfers, 2025–35 annual average","Total occupational separations, 2025–35 annual average","Occupational openings, 2025–35 annual average_sep",2025 National Employment Matrix title_skill,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading,Top highest skill,Second highest skill,Third highest skill,opening_rate_pct,growth_percentile,wage_percentile,opening_rate_percentile
13-2072.00,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",13-2072,0.605,0.605,0.605,1,A,0.1857,82.56494694474937,80.82327113062568,74.3688254665203,11.470911086717893,72.1185510428101,5.0,64.26930113428467,A,60.5,18.57,39.535,4,A,13-2072,        Loan officers,13-2072,Line item,283.0,286.0,0.2,0.2,3.1,1.1,1.4,17.1,76690,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content,"<a href=""https://www.bls.gov/ooh/business-and-financial/loan-officers.htm"">OOH Content</a>",2.3,3.5,5.9,6.7,10.1,16.8,17.1,Loan officers,47.0,58.0,21.0,65.0,90.0,48.0,29.0,55.0,36.0,91.0,9.0,9.0,85.0,51.0,3.0,69.0,70.0,Problem solving and decision making,Customer service,Adaptability,6.042402826855124,33.935018050541515,68.72727272727272,14.079422382671481
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,13-2081,0.493125,0.493125,0.493125,1,A,0.0275,53.0918404683498,49.83534577387486,53.20160995243322,19.52067325283571,62.1569703622393,5.0,47.561287961946576,A,49.3125,2.75,26.03125,4,A,13-2081,"        Tax examiners and collectors, and revenue agents",13-2081,Line item,60.1,59.5,0.0,0.0,-0.6,-1.0,—,4.4,62370,Bachelor's degree,,Moderate-term on-the-job training,OOH Content,"<a href=""https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm"">OOH Content</a>",3.8,3.6,7.5,2.3,2.2,4.5,4.4,"Tax examiners and collectors, and revenue agents",59.0,68.0,28.0,68.0,86.0,74.0,28.0,56.0,34.0,90.0,12.0,11.0,54.0,37.0,9.0,60.0,69.0,Adaptability,Detail oriented,Writing and reading,7.321131447587355,23.225030084235858,52.0,33.33333333333333
13-2082.00,Tax Preparers,Prepare tax returns for individuals or small businesses.,13-2082,0.51325,0.51325,0.51325,1,A,0.1283,30.314672521039157,29.54994511525796,32.63812660080497,10.300036589828029,42.15148188803512,5.0,28.990852542993046,A,51.325,12.83,32.0775,4,A,13-2082,        Tax preparers,13-2082,Line item,95.8,100.3,0.1,0.1,4.5,4.7,17.6,9.4,54920,High school diploma or equivalent,,Moderate-term on-the-job training,—,—,4.1,5.0,9.2,4.1,4.9,9.0,9.4,Tax preparers,53.0,78.0,10.0,56.0,50.0,73.0,19.0,49.0,11.0,86.0,10.0,2.0,26.0,45.0,0.0,42.0,59.0,Detail oriented,Adaptability,Computers and information technology,9.812108559498958,68.41155234657039,40.484848484848484,70.03610108303249
13-2099.00,"Financial Specialists, All Other",All financial specialists not listed separately.,13-2099,0.445,0.445,0.445,1,A,0.2202,,,,,,,,,44.5,22.02,33.26,3,B,13-2099,"      Financial specialists, all other",13-2099,Line item,137.8,143.4,0.1,0.1,5.6,4.1,0.4,9.4,81100,Bachelor's degree,,,—,—,2.5,3.8,6.3,3.5,5.3,8.8,9.4,"Financial specialists, all other[1]",51.0,78.0,37.0,75.0,55.0,65.0,11.0,56.0,58.0,93.0,7.0,8.0,74.0,75.0,6.0,57.0,72.0,Adaptability,Writing and reading,Detail oriented,6.821480406386067,64.50060168471721,74.42424242424242,25.150421179302047
13-2099.01,Financial Quantitative Analysts,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",13-2099,0.445,0.445,0.445,1,A,0.2202,22.88693743139407,13.688254665203072,41.93194291986828,2.0673252835711677,59.93413830954994,5.0,28.101719721917306,A,44.5,22.02,33.26,4,A,13-2099,"      Financial specialists, all other",13-2099,Line item,137.8,143.4,0.1,0.1,5.6,4.1,0.4,9.4,81100,Bachelor's degree,,,—,—,2.5,3.8,6.3,3.5,5.3,8.8,9.4,"Financial specialists, all other[1]",51.0,78.0,37.0,75.0,55.0,65.0,11.0,56.0,58.0,93.0,7.0,8.0,74.0,75.0,6.0,57.0,72.0,Adaptability,Writing and reading,Detail oriented,6.821480406386067,64.50060168471721,74.42424242424242,25.150421179302047
13-2099.04,"Fraud Examiners, Investigators and Analysts","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.",13-2099,0.445,0.445,0.445,1,A,0.2202,45.79216977680205,33.78704720087816,53.45773874862789,14.672521039151116,56.47639956092206,5.0,40.83717526527626,A,44.5,22.02,33.26,4,A,13-2099,"      Financial specialists, all other",13-2099,Line item,137.8,143.4,0.1,0.1,5.6,4.1,0.4,9.4,81100,Bachelor's degree,,,—,—,2.5,3.8,6.3,3.5,5.3,8.8,9.4,"Financial specialists, all other[1]",51.0,78.0,37.0,75.0,55.0,65.0,11.0,56.0,58.0,93.0,7.0,8.0,74.0,75.0,6.0,57.0,72.0,Adaptability,Writing and reading,Detail oriented,6.821480406386067,64.50060168471721,74.42424242424242,25.150421179302047
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",15-1211,0.49,0.49,0.49,1,A,0.2763,35.30918404683498,40.52689352360044,59.05598243688255,30.332967435053053,45.334796926454445,5.0,42.111964873765096,A,49.0,27.63,38.315,4,A,15-1211,        Computer systems analysts,15-1211,Line item,544.4,587.2,0.3,0.3,42.9,7.9,2.6,32.9,105850,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm"">OOH Content</a>",2.2,2.8,5.1,12.6,16.0,28.6,32.9,Computer systems analysts,28.0,99.0,57.0,94.0,17.0,46.0,39.0,43.0,32.0,79.0,61.0,20.0,77.0,57.0,32.0,63.0,66.0,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,6.043350477590007,88.26714801444044,87.15151515151514,14.199759326113117
15-1211.01,Health Informatics Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",15-1211,0.49,0.49,0.49,1,A,0.2763,38.218075375045736,57.29967069154775,49.35967800951335,16.794731064763997,37.81558726673985,5.0,39.897548481522136,A,49.0,27.63,38.315,4,A,15-1211,        Computer systems analysts,15-1211,Line item,544.4,587.2,0.3,0.3,42.9,7.9,2.6,32.9,105850,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm"">OOH Content</a>",2.2,2.8,5.1,12.6,16.0,28.6,32.9,Computer systems analysts,28.0,99.0,57.0,94.0,17.0,46.0,39.0,43.0,32.0,79.0,61.0,20.0,77.0,57.0,32.0,63.0,66.0,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,6.043350477590007,88.26714801444044,87.15151515151514,14.199759326113117
15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",15-1212,0.4865625,0.4865625,0.4865625,1,A,0.4859,36.80936699597512,33.863885839736554,30.79034028540066,13.867544822539337,54.58287596048298,5.0,33.98280278082693,A,48.65625,48.59,48.623125,4,A,15-1212,        Information security analysts,15-1212,Line item,192.9,233.4,0.1,0.1,40.6,21.0,0.2,14.1,129180,Bachelor's degree,Less than 5 years,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm"">OOH Content</a>",1.6,3.1,4.7,3.5,6.5,10.0,14.1,Information security analysts,59.0,97.0,62.0,87.0,30.0,67.0,32.0,25.0,34.0,48.0,43.0,18.0,52.0,35.0,24.0,55.0,76.0,Computers and information technology,Adaptability,Writing and reading,7.309486780715396,98.676293622142,92.48484848484848,32.851985559566785
15-1221.00,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",15-1221,0.49,0.49,0.49,1,A,0.3404,32.94914013904134,52.43688254665203,53.201609952433216,20.783022319795094,27.85400658616905,5.0,37.44493230881814,A,49.0,34.04,41.52,4,A,15-1221,      Computer and information research scientists,15-1221,Line item,38.6,47.0,0.0,0.0,8.4,21.8,—,2.9,140300,Master's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm"">OOH Content</a>",1.5,3.3,4.8,0.6,1.4,2.1,2.9,Computer and information research scientists,41.0,100.0,92.0,99.0,25.0,16.0,37.0,29.0,38.0,93.0,45.0,7.0,82.0,79.0,81.0,59.0,74.0,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,7.512953367875647,99.15764139590854,94.3030303030303,37.063778580024064
15-1231.00,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",15-1231,0.43,0.43,0.43,1,A,0.2867,43.08452250274424,60.84522502744237,44.182217343578486,33.57116721551409,57.3271130625686,5.0,47.80204903036956,A,43.0,28.67,35.835,4,A,15-1231,        Computer network support specialists,15-1231,Line item,152.5,154.4,0.1,0.1,1.9,1.2,2.5,9.0,76220,Associate's degree,,Moderate-term on-the-job training,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm"">OOH Content</a>",2.2,3.6,5.7,3.3,5.5,8.8,9.0,Computer network support specialists,79.0,97.0,55.0,73.0,27.0,73.0,41.0,48.0,23.0,33.0,68.0,30.0,55.0,49.0,20.0,50.0,50.0,Adaptability,Computers and information technology,Detail oriented,5.901639344262295,34.71720818291215,67.75757575757576,12.876052948255115
15-1232.00,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",15-1232,0.4702777777777778,0.4702777777777778,0.4702777777777778,1,A,0.4685,57.00695206732528,51.657519209659725,74.20417124039517,39.77314306622759,42.12403951701427,5.0,52.9531650201244,A,47.02777777777778,46.85,46.93888888888889,4,A,15-1232,        Computer user support specialists,15-1232,Line item,750.6,724.4,0.4,0.4,-26.2,-3.5,2.5,39.7,61860,"Some college, no degree",,Moderate-term on-the-job training,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm"">OOH Content</a>",2.2,3.6,5.7,16.1,26.3,42.4,39.7,Computer user support specialists,77.0,98.0,67.0,65.0,30.0,64.0,60.0,57.0,51.0,33.0,72.0,34.0,67.0,42.0,30.0,73.0,77.0,Computers and information technology,Adaptability,Writing and reading,5.28910205169198,15.4632972322503,51.030303030303024,8.182912154031289
15-1241.00,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",15-1241,0.5157142857142857,0.5157142857142857,0.5157142857142857,1,A,0.1987,22.100256128796197,40.38419319429199,30.9549945115258,33.863885839736554,59.63227222832053,5.0,37.387120380534206,A,51.57142857142857,19.87,35.72071428571428,4,A,15-1241,        Computer network architects,15-1241,Line item,181.8,195.8,0.1,0.1,14.1,7.7,0.4,9.6,134050,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm"">OOH Content</a>",1.5,2.8,4.3,2.8,5.3,8.2,9.6,Computer network architects,45.0,100.0,56.0,93.0,26.0,66.0,34.0,11.0,47.0,73.0,65.0,24.0,75.0,85.0,42.0,56.0,76.0,Computers and information technology,Critical and analytical thinking,Writing and reading,5.28052805280528,87.30445246690735,93.57575757575758,8.062575210589651
15-1241.01,Telecommunications Engineering Specialists,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.",15-1241,0.5157142857142857,0.5157142857142857,0.5157142857142857,1,A,0.1987,43.66995975118917,55.75192096597145,47.310647639956095,52.25027442371021,51.72886937431394,5.0,50.142334431028175,A,51.57142857142857,19.87,35.72071428571428,4,A,15-1241,        Computer network architects,15-1241,Line item,181.8,195.8,0.1,0.1,14.1,7.7,0.4,9.6,134050,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm"">OOH Content</a>",1.5,2.8,4.3,2.8,5.3,8.2,9.6,Computer network architects,45.0,100.0,56.0,93.0,26.0,66.0,34.0,11.0,47.0,73.0,65.0,24.0,75.0,85.0,42.0,56.0,76.0,Computers and information technology,Critical and analytical thinking,Writing and reading,5.28052805280528,87.30445246690735,93.57575757575758,8.062575210589651
15-1242.00,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",15-1242,0.5675,0.5675,0.5675,1,A,0.3315,53.402854006586175,32.414928649835346,64.80058543724844,11.85510428100988,51.94840834248079,5.0,42.88437614343213,A,56.75,33.15,44.95,4,A,15-1242,        Database administrators,15-1242,Line item,75.0,74.9,0.0,0.0,-0.1,-0.1,1.8,3.3,104620,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm"">OOH Content</a>",1.8,2.7,4.5,1.3,2.0,3.4,3.3,Database administrators,38.0,99.0,58.0,84.0,12.0,73.0,23.0,44.0,28.0,85.0,35.0,13.0,77.0,56.0,34.0,41.0,60.0,Computers and information technology,Detail oriented,Problem solving and decision making,4.3999999999999995,27.737665463297233,86.42424242424242,4.693140794223827
15-1243.00,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",15-1243,0.5347541666666666,0.4865625,0.5675,3,B,0.5787,42.15148188803513,30.329308452250277,46.304427369191366,1.6648371752652764,56.88803512623491,5.0,35.467618002195394,A,53.47541666666666,57.87,55.67270833333333,4,A,15-1243,        Database architects,15-1243,Line item,69.5,76.0,0.0,0.0,6.5,9.4,2.1,3.9,139500,Bachelor's degree,Less than 5 years,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm"">OOH Content</a>",1.8,2.7,4.5,1.3,2.0,3.3,3.9,Database architects,34.0,98.0,71.0,96.0,12.0,60.0,28.0,20.0,54.0,87.0,24.0,3.0,74.0,47.0,22.0,47.0,59.0,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,5.611510791366906,91.51624548736463,94.18181818181817,10.22864019253911
15-1243.01,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",15-1243,0.5347541666666666,0.4865625,0.5675,3,B,0.5787,29.363336992316132,16.2788144895719,30.75375045737285,1.8843761434321256,14.90120746432492,5.0,18.636297109403586,A,53.47541666666666,57.87,55.67270833333333,4,A,15-1243,        Database architects,15-1243,Line item,69.5,76.0,0.0,0.0,6.5,9.4,2.1,3.9,139500,Bachelor's degree,Less than 5 years,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm"">OOH Content</a>",1.8,2.7,4.5,1.3,2.0,3.3,3.9,Database architects,34.0,98.0,71.0,96.0,12.0,60.0,28.0,20.0,54.0,87.0,24.0,3.0,74.0,47.0,22.0,47.0,59.0,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,5.611510791366906,91.51624548736463,94.18181818181817,10.22864019253911
15-1244.00,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",15-1244,0.5472857142857144,0.5285714285714286,0.5660000000000001,2,B,0.3373,24.460300036589828,21.405049396267835,39.352360043907794,29.820709842663742,63.2821075740944,5.0,35.66410537870472,A,54.72857142857144,33.73,44.22928571428572,4,A,15-1244,        Network and computer systems administrators,15-1244,Line item,323.6,310.4,0.2,0.2,-13.2,-4.1,0.2,13.4,99130,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm"">OOH Content</a>",1.8,2.9,4.7,5.6,9.1,14.7,13.4,Network and computer systems administrators,57.0,100.0,70.0,89.0,18.0,40.0,46.0,39.0,19.0,78.0,81.0,25.0,70.0,86.0,41.0,42.0,61.0,Computers and information technology,Adaptability,Critical and analytical thinking,4.140914709517923,14.560770156438027,83.03030303030303,4.0914560770156445
15-1251.00,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",15-1251,0.571,0.571,0.571,1,A,0.7451,12.330772045371388,21.448957189901208,30.790340285400656,11.525795828759604,19.785949506037323,5.0,19.17636297109404,A,57.1,74.51,65.805,4,A,15-1251,        Computer programmers,15-1251,Line item,110.8,102.7,0.1,0.1,-8.1,-7.3,14.6,4.4,100390,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm"">OOH Content</a>",1.9,3.0,4.9,2.0,3.2,5.3,4.4,Computer programmers,56.0,100.0,87.0,92.0,15.0,56.0,31.0,27.0,36.0,87.0,26.0,8.0,34.0,35.0,53.0,45.0,57.0,Computers and information technology,Adaptability,Critical and analytical thinking,3.9711191335740073,8.303249097472925,83.75757575757575,3.730445246690734
15-1252.00,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",15-1252,0.5265625,0.5265625,0.5265625,1,C,0.288,22.70398829125503,19.57189901207464,46.61544090742773,6.860592755214051,19.978046103183317,5.0,23.145993413830958,A,52.65625000000001,28.8,40.728125000000006,4,A,15-1252,        Software developers,15-1252,Line item,1717.8,1892.6,1.0,1.1,174.7,10.2,1.5,95.3,135980,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm"">OOH Content</a>",1.4,2.9,4.3,25.6,52.3,77.9,95.3,Software developers,44.0,99.0,79.0,90.0,1.0,47.0,26.0,36.0,11.0,69.0,40.0,7.0,40.0,45.0,30.0,34.0,58.0,Computers and information technology,Critical and analytical thinking,Adaptability,5.5477936896029805,92.90012033694343,93.93939393939394,9.50661853188929
15-1253.00,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",15-1253,0.522471875,0.4865625,0.5502,3,B,0.5195,40.79765825100622,30.153677277716792,30.42444200512257,5.067691181851445,36.498353457738745,5.0,28.58836443468716,A,52.2471875,51.95,52.09859375,4,A,15-1253,        Software quality assurance analysts and testers,15-1253,Line item,187.6,198.2,0.1,0.1,10.6,5.7,—,10.7,104300,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm"">OOH Content</a>",1.8,3.2,5.0,3.5,6.1,9.6,10.7,Software quality assurance analysts and testers,64.0,100.0,68.0,92.0,10.0,65.0,29.0,25.0,47.0,63.0,34.0,5.0,44.0,41.0,45.0,52.0,72.0,Computers and information technology,Adaptability,Critical and analytical thinking,5.70362473347548,77.13598074608905,86.18181818181819,10.709987966305656
15-1254.00,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",15-1254,0.5665357142857144,0.5285714285714286,0.6045,2,B,0.4802,49.81705085986096,22.95279912184413,53.5126234906696,5.781192828393706,36.63556531284303,5.0,33.739846322722286,A,56.65357142857144,48.02,52.336785714285725,4,A,15-1254,        Web developers,15-1254,Line item,87.4,90.6,0.1,0.1,3.3,3.8,17.5,5.3,92650,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm"">OOH Content</a>",2.0,3.6,5.6,1.8,3.2,5.0,5.3,Web developers,51.0,99.0,92.0,81.0,20.0,56.0,43.0,7.0,25.0,73.0,27.0,6.0,60.0,53.0,21.0,47.0,50.0,Computers and information technology,Adaptability,Detail oriented,6.064073226544622,60.64981949458483,79.15151515151516,14.560770156438027
15-1255.00,Web and Digital Interface Designers,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.",15-1255,0.5424584821428572,0.4865625,0.6045,4,C,0.249,35.51042810098792,26.278814489571896,55.90925722649104,1.262349066959385,42.041712403951706,5.0,32.20051225759239,A,54.24584821428572,24.9,39.57292410714286,4,A,15-1255,        Web and digital interface designers,15-1255,Line item,132.7,140.8,0.1,0.1,8.0,6.0,13.3,8.3,104000,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm"">OOH Content</a>",2.3,3.2,5.4,3.1,4.3,7.4,8.3,Web and digital interface designers[1],51.0,99.0,92.0,81.0,20.0,56.0,43.0,7.0,25.0,73.0,27.0,6.0,60.0,53.0,21.0,47.0,50.0,Computers and information technology,Adaptability,Detail oriented,6.254709871891485,80.14440433212997,85.93939393939394,16.004813477737663
15-1255.01,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",15-1255,0.5424584821428572,0.4865625,0.6045,4,C,0.249,31.11964873765093,46.67398463227223,47.21917306988657,2.5978777899743872,20.1152579582876,5.0,29.545188437614343,A,54.24584821428572,24.9,39.57292410714286,4,A,15-1255,        Web and digital interface designers,15-1255,Line item,132.7,140.8,0.1,0.1,8.0,6.0,13.3,8.3,104000,Bachelor's degree,,,OOH Content,"<a href=""https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm"">OOH Content</a>",2.3,3.2,5.4,3.1,4.3,7.4,8.3,Web and digital interface designers[1],51.0,99.0,92.0,81.0,20.0,56.0,43.0,7.0,25.0,73.0,27.0,6.0,60.0,53.0,21.0,47.0,50.0,Computers and information technology,Adaptability,Detail oriented,6.254709871891485,80.14440433212997,85.93939393939394,16.004813477737663
15-1299.00,"Computer Occupations, All Other",All computer occupations not listed separately.,15-1299,0.4886083333333333,0.4290625,0.5502,3,B,0.3106,,,,,,,,,48.86083333333334,31.06,39.96041666666667,3,B,15-1299,"      Computer occupations, all other",15-1299,Line item,471.2,495.3,0.3,0.3,24.2,5.1,4.9,27.0,116580,Bachelor's degree,,,—,—,2.0,3.1,5.1,9.7,14.9,24.6,27.0,"Computer occupations, all other[1]",51.0,99.0,72.0,87.0,12.0,54.0,37.0,39.0,26.0,63.0,53.0,20.0,55.0,50.0,32.0,47.0,63.0,Computers and information technology,Adaptability,Critical and analytical thinking,5.730050933786078,72.20216606498195,89.93939393939394,11.311672683513839
15-1299.01,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",15-1299,0.4886083333333333,0.4290625,0.5502,3,B,0.3106,32.711306256860595,31.800219538968168,52.52469813391877,11.781924624954264,40.39517014270034,5.0,33.84266373948043,A,48.86083333333334,31.06,39.96041666666667,4,A,15-1299,"      Computer occupations, all other",15-1299,Line item,471.2,495.3,0.3,0.3,24.2,5.1,4.9,27.0,116580,Bachelor's degree,,,—,—,2.0,3.1,5.1,9.7,14.9,24.6,27.0,"Computer occupations, all other[1]",51.0,99.0,72.0,87.0,12.0,54.0,37.0,39.0,26.0,63.0,53.0,20.0,55.0,50.0,32.0,47.0,63.0,Computers and information technology,Adaptability,Critical and analytical thinking,5.730050933786078,72.20216606498195,89.93939393939394,11.311672683513839
15-1299.02,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",15-1299,0.4886083333333333,0.4290625,0.5502,3,B,0.3106,33.00402488108306,7.936333699231613,43.08452250274424,18.130259787779,41.3556531284303,5.0,28.702158799853645,A,48.86083333333334,31.06,39.96041666666667,4,A,15-1299,"      Computer occupations, all other",15-1299,Line item,471.2,495.3,0.3,0.3,24.2,5.1,4.9,27.0,116580,Bachelor's degree,,,—,—,2.0,3.1,5.1,9.7,14.9,24.6,27.0,"Computer occupations, all other[1]",51.0,99.0,72.0,87.0,12.0,54.0,37.0,39.0,26.0,63.0,53.0,20.0,55.0,50.0,32.0,47.0,63.0,Computers and information technology,Adaptability,Critical and analytical thinking,5.730050933786078,72.20216606498195,89.93939393939394,11.311672683513839
